question,region,score_1,score_2,score_3,score_4,score_5
What is the most common dish in Central Saudi Arabia?,Central,0.8689,0.8579,0.7935,0.7932,0.7915
What is the most popular sweet in Central Saudi Arabia?,Central,0.8594,0.8247,0.7115,0.7072,0.6963
What is the most common traditional street food in Central Saudi Arabia?,Central,0.8443,0.8205,0.7608,0.7452,0.7404
What is the most common breakfast dish in Central Saudi Arabia?,Central,0.8266,0.8249,0.7928,0.7763,0.7759
What is the most common traditional drink in Central Saudi Arabia?,Central,0.8294,0.8226,0.6922,0.6865,0.6827
What is the traditional breakfast dish during Eid-al-Fitr in Central Saudi Arabia?,Central,0.8893,0.8535,0.7432,0.7326,0.7107
What are the common traditional dances in Central Saudi Arabia?,Central,0.8684,0.8644,0.7301,0.7287,0.7248
What is the traditional clothing for women in Central Saudi Arabia?,Central,0.8745,0.8701,0.8236,0.8046,0.6632
What is the traditional clothing for men in Central Saudi Arabia?,Central,0.8704,0.8568,0.8365,0.8325,0.6702
What is the common traditional music in Central Saudi Arabia?,Central,0.8784,0.8741,0.7674,0.7579,0.6938
What is the common traditional craft in Central Saudi Arabia?,Central,0.8494,0.847,0.7767,0.732,0.7263
What is the name of the items the bride buys for her wedding in Central Saudi Arabia?,Central,0.7589,0.7572,0.605,0.6015,0.5683
What is the average amount of dowry presented to the wife in Central Saudi Arabia?,Central,0.8574,0.8483,0.5179,0.4983,0.4717
What is the traditional winter dish made from dates and brown bread in Al-Qassim?,Central,0.8477,0.8471,0.5421,0.5364,0.5318
What is the main traditional sweet in the Al-Qassim region?,Central,0.8609,0.855,0.6969,0.6875,0.6408
"What is the traditional Saudi food made from dried yogurt, shaped into white solid pieces?",Central,0.8731,0.8505,0.6124,0.6055,0.6046
"In which region of Saudi Arabia is ""Al-Marqooq"" considered a traditional dish?",Central,0.9169,0.8475,0.7901,0.7845,0.6969
"In which region of Saudi Arabia is ""Al-Marasee’"" a main traditional dish?",Central,0.8833,0.8698,0.796,0.7496,0.6992
What areas in central Saudi Arabia were historically known for making jewelry?,Central,0.9059,0.9045,0.7146,0.6947,0.6841
How many stages are involved in oud oil production in Saudi Arabia?,Central,0.8756,0.8703,0.4809,0.4747,0.4528
"What is ""Al-Kummar"" in traditional Najdi houses in Saudi Arabia?",Central,0.7637,0.7405,0.6419,0.6398,0.5572
"What is ""Al-Liwan"" in traditional Najdi houses in Riyadh?",Central,0.8429,0.8377,0.5936,0.5857,0.5203
What describes traditional building styles in Al-Qassim?,Central,0.7639,0.6973,0.554,0.5528,0.5341
How many rows are formed in the Saudi Ardah dance?,Central,0.8506,0.8388,0.6913,0.6851,0.6658
In which musical mode are most Saudi Ardah poems composed and performed?,Central,0.8735,0.8529,0.6614,0.629,0.5963
What is the name of the famous festival in Riyadh for arts and crafts?,Central,0.8378,0.8335,0.5371,0.5298,0.5146
Where do people in Riyadh usually go when the weather turns cold?,Central,0.8495,0.8471,0.4374,0.4298,0.4284
What is the name of a single beat of the large drum in the Saudi Ardah dance?,Central,0.8348,0.7442,0.596,0.5868,0.5763
"Where is the ""Al-La’ybouli"" dance popular in Saudi Arabia?",Central,0.893,0.8802,0.711,0.704,0.7021
"What does the term ""Al-Ta’leelah"" mean in Saudi culture?",Central,0.7914,0.7907,0.5364,0.5145,0.4976
What are the most common welcoming phrases in Central Saudi Arabia?,Central,0.8689,0.8682,0.5723,0.5719,0.5589
Which of the following traditional dishes are associated with Riyadh?,Central,0.8126,0.7078,0.6993,0.6775,0.6569
What is the name of the traditional Saudi dessert made of crispy biscuits filled with date molasses and black lime?,Central,0.8941,0.6181,0.6148,0.588,0.5878
"What are the essential ingredients used in preparing ""Al-Haneeni,"" a dish known for its connection to traditional Saudi cuisine?",Central,0.9005,0.6065,0.6021,0.5936,0.5757
"How can the traditional Saudi dish ""Mathlootha"" be classified?",Central,0.8434,0.7215,0.6829,0.6775,0.6724
Which of the following traditional crafts are practiced in the Qassim region?,Central,0.8368,0.7977,0.6226,0.605,0.5908
Which of the following are traditional crafts in the Riyadh region of Saudi Arabia?,Central,0.8631,0.8176,0.8092,0.7375,0.7347
"Who traditionally prepares ""Maamoul Al-Dawasir"" in Saudi culture?",Central,0.8508,0.5861,0.5773,0.5708,0.5678
What are the traditional crafts famous in the Qassim region?,Central,0.8176,0.765,0.6067,0.583,0.5595
What colors are commonly used in Sadu weaving?,Central,0.8348,0.4135,0.3448,0.3228,0.2884
"How is the ""Al-Fann Al-Houti"" dance traditionally performed in terms of formation?",Central,0.8936,0.5308,0.5148,0.5145,0.5124
"Where did the ""Naqoos"" or ""Najooz"" dance, a traditional dance and artistic singing style, originate in Saudi Arabia?",Central,0.9338,0.6319,0.6311,0.6229,0.6129
What is the main musical characteristic of the Saudi Ardah?,Central,0.8256,0.7642,0.7479,0.7156,0.7144
What is the primary role of the poet in the Saudi Ardah?,Central,0.7672,0.7146,0.696,0.5615,0.5144
"Where did the traditional Saudi art of ""Samri"" originate before spreading to other regions?",Central,0.8916,0.581,0.5748,0.5672,0.5597
What is the most common dish in East Saudi Arabia?,East,0.8595,0.8287,0.7738,0.7737,0.7685
What is the most common sweet in East Saudi Arabia?,East,0.859,0.853,0.7313,0.7104,0.7082
What is the common traditional street food in East Saudi Arabia?,East,0.8341,0.8301,0.7449,0.7336,0.7202
What is the most common breakfast dish in East Saudi Arabia?,East,0.8317,0.821,0.7789,0.7656,0.764
What is the common traditional drink in East Saudi Arabia?,East,0.8177,0.774,0.6764,0.6748,0.6629
What is the traditional clothing for men in East Saudi Arabia?,East,0.8641,0.8478,0.8187,0.7685,0.7335
What is the traditional clothing for women in East Saudi Arabia?,East,0.8734,0.8171,0.8167,0.8046,0.6786
What is the traditional breakfast dish during Eid Al-Fitr in East Saudi Arabia?,East,0.9,0.8676,0.8569,0.7323,0.6902
What are the common traditional dances in East Saudi Arabia?,East,0.8843,0.853,0.8276,0.7028,0.6826
What is the common traditional music in East Saudi Arabia?,East,0.8321,0.7876,0.7282,0.7258,0.6603
What is the common traditional craft in East Saudi Arabia?,East,0.8494,0.8457,0.7825,0.7566,0.7565
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,East,0.7915,0.7724,0.6064,0.5662,0.5652
What is the average amount of dowry presented to the wife in East Saudi Arabia?,East,0.8611,0.8526,0.5242,0.4877,0.4563
"What type of dessert dish in the Eastern Province of Saudi Arabia is made from starchy granules, water, sugar, and ghee?",East,0.8803,0.8209,0.7565,0.6983,0.6975
"What is a traditional dish of the Eastern Province, eaten on the first day of Eid Al-Fitr, made of mashed dates, ghee, and flour?",East,0.9166,0.7021,0.6991,0.6882,0.5861
What is Harees soup made of in the east of Saudi Arabia?,East,0.8501,0.7077,0.6394,0.6219,0.6173
What is the dish from the east that relies on rice cooked with sugar and served with fried fish?,East,0.8195,0.7083,0.5905,0.5355,0.4865
"What is the name of the striped fabric worn by men around the lower body, especially by divers in the east?",East,0.8394,0.7891,0.5018,0.5016,0.4135
"What is the name of the traditional sea folklore of Saudi Arabia, common in the east, especially in Qatif?",East,0.8705,0.6545,0.644,0.6213,0.617
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,East,0.8903,0.8801,0.6824,0.6769,0.6596
"What is the name of the traditional dance performed in the east, considered an ancient heritage, particularly in the Al-Ahsa region?",East,0.9111,0.8942,0.676,0.6499,0.6245
What is the name of the celebration observed in the east during Sha’ban or Ramadan?,East,0.8595,0.8325,0.4872,0.4767,0.4737
The craft of making Mishlahs (traditional cloaks) is an inherited profession in which families?,East,0.8724,0.8443,0.4528,0.368,0.3676
There is a similarity between the jewelry in the eastern and northern regions of Saudi Arabia and the jewelry of which other region?,East,0.9234,0.9194,0.6702,0.6462,0.6422
“Al-Frisi” is a traditional performing art in Saudi Arabia that originated in which region?,East,0.895,0.8893,0.6484,0.6267,0.6241
What is the traditional craft referred to as “Al-Qallafa” in Saudi culture?,East,0.8793,0.8783,0.6936,0.6923,0.6635
"What handicraft, common in the east, is primarily made by women using palm tree products?",East,0.9003,0.8556,0.4983,0.4803,0.4692
What material is used for building ships in the east of Saudi Arabia?,East,0.8727,0.8674,0.6561,0.6341,0.6329
What are the three main architectural planning styles in the Eastern Region of Saudi Arabia?,East,0.9041,0.9035,0.6655,0.6561,0.6339
What is the most common dish in East Saudi Arabia?,East,0.8595,0.8287,0.7738,0.7737,0.7685
What is the most popular sweet in East Saudi Arabia?,East,0.8591,0.8192,0.721,0.6948,0.6948
Which of the following is a common traditional street food in East Saudi Arabia?,East,0.8621,0.8438,0.7678,0.7449,0.7442
What is the traditional breakfast dish in Eid Al-Fitr in East Saudi Arabia?,East,0.9076,0.8605,0.8528,0.7454,0.7077
Which of the following is a common traditional drink in East Saudi Arabia?,East,0.8338,0.8099,0.7043,0.6975,0.6959
Which of the following is a traditional breakfast dish enjoyed during Eid Al-Fitr in East Saudi Arabia?,East,0.9078,0.8904,0.85,0.7543,0.7332
Which of the following are common traditional dances in East Saudi Arabia?,East,0.8971,0.8843,0.8473,0.7113,0.6775
What is the traditional clothing for men in East Saudi Arabia?,East,0.8641,0.8478,0.8187,0.7685,0.7335
What is the traditional clothing for women in East Saudi Arabia?,East,0.8734,0.8171,0.8167,0.8046,0.6786
What are the common traditional dances in East Saudi Arabia?,East,0.8843,0.853,0.8276,0.7028,0.6826
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,East,0.7915,0.7724,0.6064,0.5662,0.5652
What is the average amount of dowry presented to the wife in East Saudi Arabia?,East,0.8611,0.8526,0.5242,0.4877,0.4563
What is the common traditional craft in East Saudi Arabia?,East,0.8494,0.8457,0.7825,0.7566,0.7565
Which Saudi dessert is known for its starchy granules?,East,0.8775,0.7211,0.6528,0.5493,0.5461
"What is the main traditional dessert in the Eastern region of Saudi Arabia, also known as “Masabeeb” or “Marageesh”?",East,0.9363,0.7226,0.7165,0.7085,0.6945
What is the name of the dish in East Saudi Arabia that is prepared using rice cooked with sugar and served with fried fish?,East,0.9003,0.7376,0.6783,0.6759,0.6667
What is Harees soup made of?,East,0.7871,0.7099,0.361,0.3494,0.3446
"What is the name of the striped fabric traditionally worn by men around the lower body, especially by divers in East Saudi Arabia?",East,0.9027,0.7583,0.7055,0.7052,0.6419
The craft of making Mishlahs (traditional cloaks) is an inherited profession in which families?,East,0.8724,0.8443,0.4528,0.368,0.3676
What is the traditional craft referred to as “Al-Qallafa” in Saudi culture?,East,0.8793,0.8783,0.6936,0.6923,0.6635
"What handicraft, common in the East, is primarily made by women using palm tree products?",East,0.9003,0.8556,0.4983,0.4803,0.4692
There is a similarity between the jewelry in the eastern and northern regions of Saudi Arabia and the jewelry of which other region?,East,0.9234,0.9194,0.6702,0.6462,0.6422
“Al-Frisi” is a traditional performing art in Saudi Arabia that originated in which region?,East,0.895,0.8893,0.6484,0.6267,0.6241
What material is used for building ships in the east side of Saudi Arabia?,East,0.8728,0.8717,0.6587,0.6333,0.6311
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,East,0.8903,0.8801,0.6824,0.6769,0.6596
"What is the name of the traditional dance performed in the east, considered an ancient heritage, particularly in the Al-Ahsa region?",East,0.9111,0.8942,0.676,0.6499,0.6245
“Al-Sankali” is a type of maritime art associated with:,East,0.8709,0.5291,0.5241,0.4854,0.482
What is the name of the celebration observed in the east during Sha’ban or Ramadan?,East,0.8595,0.8325,0.4872,0.4767,0.4737
What are the three main architectural planning styles in the Eastern Region of Saudi Arabia?,East,0.9041,0.9035,0.6655,0.6561,0.6339
What is Hassawi rice locally and regionally known as?,East,0.8469,0.7738,0.5532,0.5027,0.468
"What are the traditional jobs practiced in the coastal areas of Saudi Arabia, deeply rooted in cultural heritage and economic history?",East,0.9016,0.6598,0.6555,0.6521,0.6465
What was the Nu’ayriyah market in Saudi Arabia specialized in selling?,East,0.8305,0.5031,0.4921,0.4918,0.4917
In which regions of Saudi Arabia was the traditional craft of making “Midad” (woven mats) previously popular?,East,0.9188,0.7043,0.6871,0.6645,0.663
Which of the following are traditional crafts in the Eastern Region of Saudi Arabia?,East,0.8801,0.8659,0.8584,0.8034,0.788
How is traditional gypsum (“Juss”) produced in Saudi Arabia?,East,0.8639,0.6341,0.553,0.5398,0.5299
"Which Saudi region is known for its distinct types of gypsum, including “Al-Arabi,” “Al-Khikri,” and “Al-Dhikri”?",East,0.9275,0.7609,0.677,0.6672,0.6505
The “Hida Dance” is a traditional dance performed by the people of which region in Saudi Arabia?,East,0.9233,0.6793,0.6506,0.647,0.5582
Which of the following are styles of the “Laybooni” art form in Saudi Arabia?,East,0.8826,0.6523,0.6499,0.6469,0.6419
What is the most common dish in Northern Saudi Arabia?,North,0.8705,0.8689,0.8068,0.8002,0.7954
What is the most common dessert in Northern Saudi Arabia?,North,0.8695,0.8668,0.7687,0.7596,0.7529
What is the most popular street food in Northern Saudi Arabia?,North,0.8429,0.8383,0.7655,0.7581,0.733
What is the most common breakfast dish in Northern Saudi Arabia?,North,0.867,0.8656,0.8109,0.8,0.7973
What is the most popular traditional drink in Northern Saudi Arabia?,North,0.8385,0.8326,0.6843,0.6743,0.6689
What is the traditional men’s clothing in Northern Saudi Arabia?,North,0.878,0.8635,0.8216,0.8208,0.6891
What is the traditional women’s clothing in Northern Saudi Arabia?,North,0.8638,0.8557,0.8343,0.8168,0.6712
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,North,0.8887,0.8836,0.8046,0.7995,0.797
What are the traditional dances common in Northern Saudi Arabia?,North,0.8827,0.8808,0.7336,0.7288,0.7128
What is the traditional musical style common in Northern Saudi Arabia?,North,0.891,0.8898,0.7865,0.7819,0.6768
What are the traditional crafts common in Northern Saudi Arabia?,North,0.8728,0.8345,0.7128,0.7121,0.7115
What are the items a bride buys for her wedding in Northern Saudi Arabia?,North,0.8043,0.8,0.6057,0.604,0.588
What is the average dowry given to the bride in Northern Saudi Arabia?,North,0.8392,0.814,0.5935,0.5908,0.472
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,North,0.9249,0.8921,0.7541,0.7477,0.6605
What are the most common greetings in Northern Saudi Arabia?,North,0.883,0.8679,0.6634,0.6607,0.6576
What does placing your hand over a coffee cup mean in Northern Saudi culture?,North,0.8737,0.8561,0.5931,0.5791,0.5647
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,North,0.8398,0.8169,0.6219,0.6214,0.607
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,North,0.8922,0.8852,0.615,0.5799,0.5704
Is it acceptable to serve coffee before dates in Northern Saudi hospitality?,North,0.9045,0.747,0.6288,0.6191,0.5993
What is the name of the night before Eid in the Northern region of Saudi Arabia?,North,0.826,0.8136,0.6211,0.6183,0.5871
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",North,0.9046,0.9042,0.7662,0.742,0.656
What is the Saudi traditional game similar to bowling in Northern Saudi Arabia?,North,0.8978,0.8726,0.661,0.6521,0.6504
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",North,0.8733,0.8675,0.6962,0.6302,0.5965
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",North,0.8948,0.8909,0.5867,0.5788,0.5758
What is the most common dish in Northern Saudi Arabia?,North,0.8705,0.8689,0.8068,0.8002,0.7954
What is the most common dessert in Northern Saudi Arabia?,North,0.8695,0.8668,0.7687,0.7596,0.7529
What is the most popular street food in Northern Saudi Arabia?,North,0.8429,0.8383,0.7655,0.7581,0.733
What is the most common breakfast dish in Northern Saudi Arabia?,North,0.867,0.8656,0.8109,0.8,0.7973
What is the most popular traditional drink in Northern Saudi Arabia?,North,0.8385,0.8326,0.6843,0.6743,0.6689
What is the traditional men’s clothing in Northern Saudi Arabia?,North,0.878,0.8635,0.8216,0.8208,0.6891
What is the traditional women’s clothing in Northern Saudi Arabia?,North,0.8638,0.8557,0.8343,0.8168,0.6712
What is the traditional musical style common in Northern Saudi Arabia?,North,0.891,0.8898,0.7865,0.7819,0.6768
What are the traditional dances common in Northern Saudi Arabia?,North,0.8827,0.8808,0.7336,0.7288,0.7128
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,North,0.8887,0.8836,0.8046,0.7995,0.797
What are the traditional crafts common in Northern Saudi Arabia?,North,0.8728,0.8345,0.7128,0.7121,0.7115
What are the items a bride buys for her wedding in Northern Saudi Arabia?,North,0.8043,0.8,0.6057,0.604,0.588
What is the average dowry given to a bride in Northern Saudi Arabia?,North,0.8362,0.8124,0.5913,0.5877,0.4721
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,North,0.9249,0.8921,0.7541,0.7477,0.6605
What are the most common greetings in Northern Saudi Arabia?,North,0.883,0.8679,0.6634,0.6607,0.6576
What is the name of the night before Eid in the Northern region of Saudi Arabia?,North,0.826,0.8136,0.6211,0.6183,0.5871
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",North,0.9046,0.9042,0.7662,0.742,0.656
What is the Saudi traditional game similar to bowling?,North,0.8676,0.8543,0.5911,0.5729,0.5724
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",North,0.8733,0.8675,0.6962,0.6302,0.5965
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",North,0.8948,0.8909,0.5867,0.5788,0.5758
What does placing your hand over a coffee cup mean in Northern Saudi culture?,North,0.8737,0.8561,0.5931,0.5791,0.5647
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,North,0.8398,0.8169,0.6219,0.6214,0.607
What are the unique hospitality traditions in Northern Saudi Arabia?,North,0.7774,0.6779,0.6772,0.6752,0.6635
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,North,0.8922,0.8852,0.615,0.5799,0.5704
What architectural planning system does traditional architecture in Al-Jouf rely on?,North,0.8906,0.272,0.2686,0.2682,0.2665
"What happens during ""Al-Shabbat"" in Northern Saudi Arabia?",North,0.8372,0.5376,0.5288,0.5256,0.5113
"What is ""Khashrat Al-Eid"" in Hail, and how is it celebrated?",North,0.8767,0.4275,0.4084,0.4053,0.3995
"What is a common dish served in Hail during Eid, showcasing housewives’ cooking skills?",North,0.8562,0.5669,0.5259,0.5164,0.5008
How do families in Hail ensure everyone in the neighborhood tastes each other’s food during Eid breakfast?,North,0.8652,0.5538,0.3712,0.3658,0.3541
What are common gathering places in Northern Saudi Arabia?,North,0.808,0.7244,0.7148,0.6856,0.6813
What is the most common dish in South Saudi Arabia?,South,0.8663,0.8129,0.8123,0.8099,0.8075
What is the most common sweet in South Saudi Arabia?,South,0.8605,0.8254,0.7495,0.7256,0.7251
What is the common traditional street food in South Saudi Arabia?,South,0.8571,0.8417,0.755,0.7483,0.7347
What is the most common breakfast dish in South Saudi Arabia?,South,0.869,0.8499,0.795,0.7889,0.7736
What is the common traditional drink in South Saudi Arabia?,South,0.8521,0.8174,0.6999,0.67,0.6699
What is the traditional clothing for men in South Saudi Arabia?,South,0.8852,0.836,0.836,0.7939,0.7903
What is the traditional clothing for women in South Saudi Arabia?,South,0.8771,0.8771,0.8372,0.817,0.7436
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,South,0.8735,0.8707,0.7715,0.7499,0.7365
What are the common traditional dances in South Saudi Arabia?,South,0.8698,0.8285,0.7273,0.7225,0.7223
What is the common traditional music in South Saudi Arabia?,South,0.873,0.873,0.768,0.7502,0.7224
What is the common traditional craft in South Saudi Arabia?,South,0.8647,0.8409,0.7337,0.7325,0.7276
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,South,0.7869,0.7831,0.6379,0.6325,0.6195
What is the average amount of dowry presented to the wife in Saudi Arabia?,South,0.8389,0.8384,0.503,0.4928,0.4576
What is the name of the traditional butter dish served in South Saudi Arabia?,South,0.8737,0.8642,0.746,0.7382,0.7368
"What is a popular dish known in the southern region of Saudi Arabia, served hot with honey, ghee, and dates?",South,0.892,0.8001,0.7981,0.781,0.778
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,South,0.8999,0.888,0.8524,0.7647,0.7416
What is the name of the traditional food served to guests in the afternoon in South Saudi Arabia?,South,0.8664,0.8494,0.7604,0.7517,0.7426
What is the traditional oven or pot used for baking in South Saudi Arabia?,South,0.9214,0.8865,0.6977,0.6951,0.69
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,South,0.9104,0.8912,0.7978,0.7921,0.7543
What is the name of the traditional clothes in Tehama in South Saudi Arabia?,South,0.8685,0.8042,0.8042,0.7962,0.7832
What are the most common greeting phrases in Al-Baha?,South,0.8564,0.8481,0.5955,0.4203,0.4199
What is the name of the traditional folklore performed at weddings and for greeting guests from different tribes in South Saudi Arabia?,South,0.8837,0.8773,0.6626,0.6111,0.5994
“Beit Al-Esha” is a traditional architectural style. Which region in Saudi Arabia is known for this style?,South,0.9274,0.9181,0.6385,0.6031,0.6028
"In which area is the “vegetative style” architecture, known as “Al-Ishash,” commonly found in the Asir region due to its ease of construction?",South,0.9212,0.9065,0.6475,0.6446,0.5963
In which region of Saudi Arabia is juniper wood (“Arar”) traditionally used in architecture?,South,0.9307,0.9104,0.6358,0.6017,0.6012
"What does the guest room consist of in Jazan, Saudi Arabia?",South,0.8115,0.8074,0.6503,0.6481,0.5724
In which region of Saudi Arabia do traditional sitting rooms (majalis) include a stone fireplace used for cooking and preparing coffee in front of guests?,South,0.9351,0.9333,0.6657,0.6533,0.6342
The “Sword Dance” is a traditional folk dance in Saudi Arabia associated with which region?,South,0.9075,0.8748,0.7218,0.6883,0.6882
"What is the form of singing performed individually in South Saudi Arabia, relying on creative embellishments, often during travels?",South,0.9228,0.9135,0.6639,0.6639,0.6376
The “Del’a Dance” is a traditional dance in Saudi Arabia associated with which region?,South,0.8996,0.8989,0.7078,0.7038,0.697
The “Janbiya Dance” is a traditional folk dance popular in which region of Saudi Arabia?,South,0.8951,0.78,0.7274,0.6746,0.6745
In which region of Saudi Arabia is the “Al-Azawi Dance” primarily performed?,South,0.8926,0.8708,0.76,0.7108,0.6886
Is it acceptable in South Saudi Arabia for the host to ask the guest about his updates before serving coffee?,South,0.9144,0.8874,0.4859,0.4788,0.4433
"What is the name given to the artist who paints Al-Qatt Al-Asiri, the traditional Asiri wall art?",South,0.9103,0.9101,0.7538,0.7453,0.5009
What is the most expensive part of a traditional Saudi Janbiya (dagger) that determines its price?,South,0.9291,0.9275,0.6348,0.6326,0.607
What material is traditionally used to make the “Janbiya” dagger in Najran?,South,0.8831,0.8792,0.6466,0.641,0.6253
"What describes “Al-Qatt Al-Asiri,” a traditional art form in the Asir region?",South,0.8853,0.8801,0.8004,0.797,0.651
What is the most common traditional craft in Najran city?,South,0.8244,0.7841,0.6172,0.6095,0.5963
What is the most common dish in South Saudi Arabia?,South,0.8663,0.8129,0.8123,0.8099,0.8075
What is the most popular sweet in South Saudi Arabia?,South,0.8619,0.7895,0.7372,0.7285,0.7246
What is the most common traditional street food in South Saudi Arabia?,South,0.8587,0.8554,0.7709,0.765,0.7494
What is the most common breakfast dish in South Saudi Arabia?,South,0.869,0.8499,0.795,0.7889,0.7736
What is the most common traditional drink in South Saudi Arabia?,South,0.8649,0.8184,0.7001,0.6852,0.6839
What is the traditional clothing for men in South Saudi Arabia?,South,0.8852,0.836,0.836,0.7939,0.7903
What is the traditional clothing for women in South Saudi Arabia?,South,0.8771,0.8771,0.8372,0.817,0.7436
What is the traditional breakfast dish during Eid Al-Fitr in South Saudi Arabia?,South,0.8735,0.8707,0.7715,0.7499,0.7365
What are the common traditional dances in South Saudi Arabia?,South,0.8698,0.8285,0.7273,0.7225,0.7223
What is the common traditional music in South Saudi Arabia?,South,0.873,0.873,0.768,0.7502,0.7224
What is the common traditional craft in South Saudi Arabia?,South,0.8647,0.8409,0.7337,0.7325,0.7276
What is the name of the items the bride buys for her wedding in South Saudi Arabia?,South,0.7869,0.7831,0.6379,0.6325,0.6195
What is the average amount of dowry presented to the wife in South Saudi Arabia?,South,0.8668,0.8524,0.5395,0.5276,0.4867
In which region of Saudi Arabia is “Al-Maghsh” considered a traditional dish?,South,0.9104,0.8912,0.7978,0.7921,0.7543
“Al-Mashghoutha” is a traditional Saudi dish. Which region is known for preparing it?,South,0.9527,0.8194,0.8166,0.8086,0.7964
In which regions of Saudi Arabia is the traditional dish “Haneeth” popular?,South,0.8999,0.888,0.8524,0.7647,0.7416
“Al-Haneeth” is a dish famous in which region of Saudi Arabia?,South,0.898,0.8169,0.804,0.7428,0.7248
