question,expected_region,file,question_type,domain,category,top_score,max_score,average_score,num_results
What is the name of the famous festival in Riyadh for arts and crafts?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8378,0.8378,0.6506,5
Where do people in Riyadh usually go when the weather turns cold?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8495,0.8495,0.5985,5
What is the name of a single beat of the large drum in the Saudi Ardah dance?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8348,0.8348,0.6676,5
"Where is the ""Al-La’ybouli"" dance popular in Saudi Arabia?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.893,0.893,0.7781,5
"What does the term ""Al-Ta’leelah"" mean in Saudi culture?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.7914,0.7914,0.6261,5
What are the most common welcoming phrases in Central Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Languages and Communication,0.8689,0.8689,0.688,5
Which of the following traditional dishes are associated with Riyadh?,Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Food,0.8126,0.8126,0.7108,5
What is the name of the traditional Saudi dessert made of crispy biscuits filled with date molasses and black lime?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.8941,0.8941,0.6606,5
"What are the essential ingredients used in preparing ""Al-Haneeni,"" a dish known for its connection to traditional Saudi cuisine?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Food,0.9005,0.9005,0.6557,5
"How can the traditional Saudi dish ""Mathlootha"" be classified?",Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Food,0.8434,0.8434,0.7196,5
Which of the following traditional crafts are practiced in the Qassim region?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Crafts and Work,0.8368,0.8368,0.6906,5
Which of the following are traditional crafts in the Riyadh region of Saudi Arabia?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Crafts and Work,0.8631,0.8631,0.7924,5
"Who traditionally prepares ""Maamoul Al-Dawasir"" in Saudi culture?",Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8508,0.8508,0.6305,5
What are the traditional crafts famous in the Qassim region?,Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8176,0.8176,0.6664,5
What colors are commonly used in Sadu weaving?,Central,CENTERAL.csv,MCQ (one correct),Specialized,Crafts and Work,0.8348,0.8348,0.4409,5
"How is the ""Al-Fann Al-Houti"" dance traditionally performed in terms of formation?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8936,0.8936,0.5932,5
"Where did the ""Naqoos"" or ""Najooz"" dance, a traditional dance and artistic singing style, originate in Saudi Arabia?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.9338,0.9338,0.6865,5
What is the main musical characteristic of the Saudi Ardah?,Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Entertainment,0.8256,0.8256,0.7535,5
What is the primary role of the poet in the Saudi Ardah?,Central,CENTERAL.csv,MCQ (multiple correct),Specialized,Entertainment,0.7672,0.7672,0.6507,5
"Where did the traditional Saudi art of ""Samri"" originate before spreading to other regions?",Central,CENTERAL.csv,MCQ (one correct),Specialized,Entertainment,0.8916,0.8916,0.6349,5
What is the most common dish in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Food,0.8595,0.8595,0.8008,5
What is the most common sweet in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Food,0.859,0.859,0.7724,5
What is the common traditional street food in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Food,0.8341,0.8341,0.7726,5
What is the most common breakfast dish in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Food,0.8317,0.8317,0.7922,5
What is the common traditional drink in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Food,0.8177,0.8177,0.7212,5
What is the traditional clothing for men in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Clothes,0.8641,0.8641,0.8065,5
What is the traditional clothing for women in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Clothes,0.8734,0.8734,0.7981,5
What is the traditional breakfast dish during Eid Al-Fitr in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Celebration,0.9,0.9,0.8094,5
What are the common traditional dances in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Celebration,0.8843,0.8843,0.79,5
What is the common traditional music in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Entertainment,0.8321,0.8321,0.7468,5
What is the common traditional craft in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Crafts and Work,0.8494,0.8494,0.7981,5
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Dating,0.7915,0.7915,0.6603,5
What is the average amount of dowry presented to the wife in East Saudi Arabia?,East,EAST.csv,Open-ended,Common,Dating,0.8611,0.8611,0.6364,5
"What type of dessert dish in the Eastern Province of Saudi Arabia is made from starchy granules, water, sugar, and ghee?",East,EAST.csv,Open-ended,Specialized,Food,0.8803,0.8803,0.7707,5
"What is a traditional dish of the Eastern Province, eaten on the first day of Eid Al-Fitr, made of mashed dates, ghee, and flour?",East,EAST.csv,Open-ended,Specialized,Food,0.9166,0.9166,0.7184,5
What is Harees soup made of in the east of Saudi Arabia?,East,EAST.csv,Open-ended,Specialized,Food,0.8501,0.8501,0.6873,5
What is the dish from the east that relies on rice cooked with sugar and served with fried fish?,East,EAST.csv,Open-ended,Specialized,Food,0.8195,0.8195,0.6281,5
"What is the name of the striped fabric worn by men around the lower body, especially by divers in the east?",East,EAST.csv,Open-ended,Specialized,Clothes,0.8394,0.8394,0.6091,5
"What is the name of the traditional sea folklore of Saudi Arabia, common in the east, especially in Qatif?",East,EAST.csv,Open-ended,Specialized,Entertainment,0.8705,0.8705,0.6814,5
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,East,EAST.csv,Open-ended,Specialized,Entertainment,0.8903,0.8903,0.7579,5
"What is the name of the traditional dance performed in the east, considered an ancient heritage, particularly in the Al-Ahsa region?",East,EAST.csv,Open-ended,Specialized,Entertainment,0.9111,0.9111,0.7511,5
What is the name of the celebration observed in the east during Sha’ban or Ramadan?,East,EAST.csv,Open-ended,Specialized,Celebration,0.8595,0.8595,0.6259,5
The craft of making Mishlahs (traditional cloaks) is an inherited profession in which families?,East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.8724,0.8724,0.581,5
There is a similarity between the jewelry in the eastern and northern regions of Saudi Arabia and the jewelry of which other region?,East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.9234,0.9234,0.7603,5
“Al-Frisi” is a traditional performing art in Saudi Arabia that originated in which region?,East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.895,0.895,0.7367,5
What is the traditional craft referred to as “Al-Qallafa” in Saudi culture?,East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.8793,0.8793,0.7614,5
"What handicraft, common in the east, is primarily made by women using palm tree products?",East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.9003,0.9003,0.6407,5
What material is used for building ships in the east of Saudi Arabia?,East,EAST.csv,Open-ended,Specialized,Crafts and Work,0.8727,0.8727,0.7326,5
What are the three main architectural planning styles in the Eastern Region of Saudi Arabia?,East,EAST.csv,Open-ended,Specialized,Architecture,0.9041,0.9041,0.7526,5
What is the most common dish in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Food,0.8595,0.8595,0.8008,5
What is the most popular sweet in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Food,0.8591,0.8591,0.7578,5
Which of the following is a common traditional street food in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Food,0.8621,0.8621,0.7926,5
What is the traditional breakfast dish in Eid Al-Fitr in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Food,0.9076,0.9076,0.8148,5
Which of the following is a common traditional drink in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Food,0.8338,0.8338,0.7483,5
Which of the following is a traditional breakfast dish enjoyed during Eid Al-Fitr in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Celebration,0.9078,0.9078,0.8271,5
Which of the following are common traditional dances in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Celebration,0.8971,0.8971,0.8035,5
What is the traditional clothing for men in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Clothes,0.8641,0.8641,0.8065,5
What is the traditional clothing for women in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Clothes,0.8734,0.8734,0.7981,5
What are the common traditional dances in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Entertainment,0.8843,0.8843,0.79,5
What is the name of the items the bride buys for her wedding in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Dating,0.7915,0.7915,0.6603,5
What is the average amount of dowry presented to the wife in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Dating,0.8611,0.8611,0.6364,5
What is the common traditional craft in East Saudi Arabia?,East,EAST.csv,MCQ (one correct),Common,Crafts and Work,0.8494,0.8494,0.7981,5
Which Saudi dessert is known for its starchy granules?,East,EAST.csv,MCQ (one correct),Specialized,Food,0.8775,0.8775,0.6693,5
"What is the main traditional dessert in the Eastern region of Saudi Arabia, also known as “Masabeeb” or “Marageesh”?",East,EAST.csv,MCQ (one correct),Specialized,Food,0.9363,0.9363,0.7557,5
What is the name of the dish in East Saudi Arabia that is prepared using rice cooked with sugar and served with fried fish?,East,EAST.csv,MCQ (one correct),Specialized,Food,0.9003,0.9003,0.7318,5
What is Harees soup made of?,East,EAST.csv,MCQ (one correct),Specialized,Food,0.7871,0.7871,0.5104,5
"What is the name of the striped fabric traditionally worn by men around the lower body, especially by divers in East Saudi Arabia?",East,EAST.csv,MCQ (one correct),Specialized,Clothes,0.9027,0.9027,0.7427,5
The craft of making Mishlahs (traditional cloaks) is an inherited profession in which families?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8724,0.8724,0.581,5
What is the traditional craft referred to as “Al-Qallafa” in Saudi culture?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8793,0.8793,0.7614,5
"What handicraft, common in the East, is primarily made by women using palm tree products?",East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.9003,0.9003,0.6407,5
There is a similarity between the jewelry in the eastern and northern regions of Saudi Arabia and the jewelry of which other region?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.9234,0.9234,0.7603,5
“Al-Frisi” is a traditional performing art in Saudi Arabia that originated in which region?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.895,0.895,0.7367,5
What material is used for building ships in the east side of Saudi Arabia?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8728,0.8728,0.7335,5
What is the name of the traditional game popular in Darin Center in the Eastern Region of Saudi Arabia?,East,EAST.csv,MCQ (one correct),Specialized,Entertainment,0.8903,0.8903,0.7579,5
"What is the name of the traditional dance performed in the east, considered an ancient heritage, particularly in the Al-Ahsa region?",East,EAST.csv,MCQ (one correct),Specialized,Entertainment,0.9111,0.9111,0.7511,5
“Al-Sankali” is a type of maritime art associated with:,East,EAST.csv,MCQ (one correct),Specialized,Entertainment,0.8709,0.8709,0.5783,5
What is the name of the celebration observed in the east during Sha’ban or Ramadan?,East,EAST.csv,MCQ (one correct),Specialized,Celebration,0.8595,0.8595,0.6259,5
What are the three main architectural planning styles in the Eastern Region of Saudi Arabia?,East,EAST.csv,MCQ (one correct),Specialized,Architecture,0.9041,0.9041,0.7526,5
What is Hassawi rice locally and regionally known as?,East,EAST.csv,MCQ (one correct),Specialized,Food,0.8469,0.8469,0.6289,5
"What are the traditional jobs practiced in the coastal areas of Saudi Arabia, deeply rooted in cultural heritage and economic history?",East,EAST.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.9016,0.9016,0.7031,5
What was the Nu’ayriyah market in Saudi Arabia specialized in selling?,East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.8305,0.8305,0.5618,5
In which regions of Saudi Arabia was the traditional craft of making “Midad” (woven mats) previously popular?,East,EAST.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.9188,0.9188,0.7275,5
Which of the following are traditional crafts in the Eastern Region of Saudi Arabia?,East,EAST.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8801,0.8801,0.8392,5
How is traditional gypsum (“Juss”) produced in Saudi Arabia?,East,EAST.csv,MCQ (multiple correct),Specialized,Crafts and Work,0.8639,0.8639,0.6241,5
"Which Saudi region is known for its distinct types of gypsum, including “Al-Arabi,” “Al-Khikri,” and “Al-Dhikri”?",East,EAST.csv,MCQ (one correct),Specialized,Crafts and Work,0.9275,0.9275,0.7366,5
The “Hida Dance” is a traditional dance performed by the people of which region in Saudi Arabia?,East,EAST.csv,MCQ (one correct),Specialized,Entertainment,0.9233,0.9233,0.6917,5
Which of the following are styles of the “Laybooni” art form in Saudi Arabia?,East,EAST.csv,MCQ (multiple correct),Specialized,Entertainment,0.8826,0.8826,0.6947,5
What is the most common dish in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Food,0.8705,0.8705,0.8284,5
What is the most common dessert in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Food,0.8695,0.8695,0.8035,5
What is the most popular street food in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Food,0.8429,0.8429,0.7876,5
What is the most common breakfast dish in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Food,0.867,0.867,0.8282,5
What is the most popular traditional drink in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Food,0.8385,0.8385,0.7397,5
What is the traditional men’s clothing in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Clothes,0.878,0.878,0.8146,5
What is the traditional women’s clothing in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Clothes,0.8638,0.8638,0.8084,5
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Celebration,0.8887,0.8887,0.8347,5
What are the traditional dances common in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Entertainment,0.8827,0.8827,0.7878,5
What is the traditional musical style common in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Entertainment,0.891,0.891,0.8052,5
What are the traditional crafts common in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Crafts and Work,0.8728,0.8728,0.7687,5
What are the items a bride buys for her wedding in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Dating,0.8043,0.8043,0.6804,5
What is the average dowry given to the bride in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Common,Dating,0.8392,0.8392,0.6619,5
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Specialized,Food,0.9249,0.9249,0.7959,5
What are the most common greetings in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Specialized,Languages and Communication,0.883,0.883,0.7465,5
What does placing your hand over a coffee cup mean in Northern Saudi culture?,North,NORTH.csv,Open-ended,Specialized,Food,0.8737,0.8737,0.6933,5
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Specialized,Food,0.8398,0.8398,0.7014,5
Is it acceptable for the host to eat with the guests in Northern Saudi hospitality?,North,NORTH.csv,Open-ended,Specialized,Food,0.8922,0.8922,0.7085,5
Is it acceptable to serve coffee before dates in Northern Saudi hospitality?,North,NORTH.csv,Open-ended,Specialized,Food,0.9045,0.9045,0.6997,5
What is the name of the night before Eid in the Northern region of Saudi Arabia?,North,NORTH.csv,Open-ended,Specialized,Dating,0.826,0.826,0.6932,5
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",North,NORTH.csv,Open-ended,Specialized,Entertainment,0.9046,0.9046,0.7946,5
What is the Saudi traditional game similar to bowling in Northern Saudi Arabia?,North,NORTH.csv,Open-ended,Specialized,Entertainment,0.8978,0.8978,0.7468,5
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",North,NORTH.csv,Open-ended,Specialized,Entertainment,0.8733,0.8733,0.7328,5
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",North,NORTH.csv,Open-ended,Specialized,Entertainment,0.8948,0.8948,0.7054,5
What is the most common dish in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Food,0.8705,0.8705,0.8284,5
What is the most common dessert in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Food,0.8695,0.8695,0.8035,5
What is the most popular street food in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Food,0.8429,0.8429,0.7876,5
What is the most common breakfast dish in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Food,0.867,0.867,0.8282,5
What is the most popular traditional drink in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Food,0.8385,0.8385,0.7397,5
What is the traditional men’s clothing in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Clothes,0.878,0.878,0.8146,5
What is the traditional women’s clothing in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Clothes,0.8638,0.8638,0.8084,5
What is the traditional musical style common in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Entertainment,0.891,0.891,0.8052,5
What are the traditional dances common in Northern Saudi Arabia?,North,NORTH.csv,MCQ (multiple correct),Common,Entertainment,0.8827,0.8827,0.7878,5
What is the traditional dish for breakfast on Eid Al-Fitr in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Celebration,0.8887,0.8887,0.8347,5
What are the traditional crafts common in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Crafts and Work,0.8728,0.8728,0.7687,5
What are the items a bride buys for her wedding in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Dating,0.8043,0.8043,0.6804,5
What is the average dowry given to a bride in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Common,Dating,0.8362,0.8362,0.6599,5
What are some traditional meals associated with Eid Al-Adha in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.9249,0.9249,0.7959,5
What are the most common greetings in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Specialized,Languages and Communication,0.883,0.883,0.7465,5
What is the name of the night before Eid in the Northern region of Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Specialized,Dating,0.826,0.826,0.6932,5
"Where is the traditional game ""Al-Fashaq"" popular in Saudi Arabia?",North,NORTH.csv,MCQ (one correct),Specialized,Entertainment,0.9046,0.9046,0.7946,5
What is the Saudi traditional game similar to bowling?,North,NORTH.csv,MCQ (one correct),Specialized,Entertainment,0.8676,0.8676,0.6916,5
"Where is the dance ""Al-Ashouri"" famous in Saudi Arabia?",North,NORTH.csv,MCQ (one correct),Specialized,Entertainment,0.8733,0.8733,0.7328,5
"When is the game ""Adheem Lah Wayn Gada Wayn Rah"" played in Northern Saudi Arabia?",North,NORTH.csv,MCQ (one correct),Specialized,Entertainment,0.8948,0.8948,0.7054,5
What does placing your hand over a coffee cup mean in Northern Saudi culture?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.8737,0.8737,0.6933,5
What is the typical amount of coffee served to guests in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.8398,0.8398,0.7014,5
What are the unique hospitality traditions in Northern Saudi Arabia?,North,NORTH.csv,MCQ (one correct),Specialized,Food,0.7774,0.7774,0.6942,5
